contributor,bothunter,app
flyio-buildbot,Bot,False
blockstack-devops,Bot,False
SMillerDev,Human,False
petere,Human,False
bfontaine,Human,False
zuisong,Human,False
asyncapi-bot-eve,Bot,False
EricFromCanada,Human,False
Moulick,Human,False
BrewTestBot,Bot,False
carlocab,Human,False
ddollar,Human,False
seratch,Human,False
sferik,Human,False
samford,Human,False
jesseduffield,Human,False
claui,Human,False
jeremylong,Human,False
tchajed,Human,False
FnControlOption,Human,False
flyio-flyctl-bot,Bot,False
avsm,Human,False
denysdovhan,Human,False
derrabus,Human,False
github-merge-queue[bot],Bot,True
jidicula,Human,False
bevanjkay,Human,False
branchvincent,Human,False
nevack,Human,False
mkhl,Human,False
wing328,Human,False
stgraber,Human,False
soloio-bot,Bot,False
matchai,Human,False
kevinAlbs,Human,False
curquiza,Human,False
dandavison,Human,False
pulumi-bot,Bot,False
epistrephein,Human,False
github-actions[bot],Bot,True
